lat	lon	title	description	icon	iconSize	iconOffset
51.722083 	 8.754537 	 Rock Cafe 	 <span>Special:  Warsteiner/Detmolder 0,3: 2,00 </span><p> Für alt-Rocker und welche, die es werden wollen. Fragt Horst (den Wirt) nach dem Spezial-Bier - es gibt alle paar Monate ein neues. </p>	./img/marker-gold.png	24,24	0,-24
51.721764 	 8.755234 	 Markandu 	 <span>Special:  Warsteinder/Hohenheim 0,25: 1,80 </span><p> Innovative Sitzplatzgestaltung in grell-grün und mit gemütlicher Sitzwürfel-Ecke. Hier gibt es Cocktails uns mehr, Dienstags ist Student's Night und öfters mal mit coolen Kulturevents. Jeden Dienstag ist Eurobiz-Stammtisch. </p>	./img/marker-gold.png	24,24	0,-24
51.721447 	 8.756145 	 Cube 	 <span>Special:  Becks, Astra: 2,00 </span><p> Alternative Disco. Sehr heißer Tipp, sowohl in der Woche als auch am Wochenende. Dienstags und Donnerstags Eintritt frei. Am Wochenende 3 EUR, dafür mit Bands. </p>	./img/marker-gold.png	24,24	0,-24
51.72147 	 8.756703 	 Mango 	 <span>Special:  Herforder 0,25: 1,90 </span><p> Wer mit Engländern Fußball gucken möchte, ist hier richtig. </p>	./img/marker-gold.png	24,24	0,-24
51.721691 	 8.756886 	 Lenz 	 <span>Special:  Warsteiner 0,25: 1,80 </span><p> Stilvolle Kneipe mit langen Öffnungszeiten. Hobbypianisten dürfen den Flügel quälen. Bei der Bedienung kann man Döner, Pizza und Nasi Goreng von den umliegenden Fressbuden bestellen, es wird direkt an den Tisch geliefert. Außerdem eine der beiden Locations der Kneipenlesung. </p>	./img/marker-gold.png	24,24	0,-24
51.722122 	 8.757154 	 Highlander 	 <span>Special:  Holsten 0,25: 1,80 </span><p> 150 Whiskey-Sorten! Ein Feeling wie in den Highlands mit Cider, Guiness und jeder Menge Schotten. Achtung, videoüberwacht! </p>	./img/marker-gold.png	24,24	0,-24
51.721138 	 8.75679 	 Sage 	 <span>Special:  Detmolder 0,2: 1,00 </span><p> Nette, rockige kleiner Bar im Paderborner Hafenviertel, Mittelpunkt der neuen Fußgängerzone. </p>	./img/marker-gold.png	24,24	0,-24
51.720913 	 8.756876 	 Globetrotter 	 <span>Special:  Warsteiner 0,25: 1,70 </span><p> Knabbereien für lau auf den Tischen, ansonsten recht gemütlich, mit einem kleinen Billardtisch. </p>	./img/marker-gold.png	24,24	0,-24
51.720806 	 8.757305 	 Pflaumenbaum 	 <span>Special:  DAB 0,3: 1,90 </span><p> Schlager und Chartmusik unterhalten das angeheiterte, meist jugendliche Publikum. Es macht den Anschein die Kneipe wäre um einen Pflaumenbaum herum errichtet worden. </p>	./img/marker-gold.png	24,24	0,-24
51.720441 	 8.76106 	 Akkademie 	 <span>Special:  DAB 0,3: 2,00 </span><p> Kneipe mit Billard, Kicker und Dart. Allerdings tummeln sich dort auch viele Minderjährige, und ein Bier braucht mitunter 17 Minuten. </p>	./img/marker-gold.png	24,24	0,-24
51.719238 	 8.758678 	 Havana 	 <span>Special:  Warsteiner 0,2: 1,40 </span><p> Mischung aus Spanier, Kubaner, Mexikaner mit einem Schuss Südamerika. Wenn man die vielen Stilbrüche ignoriert, gibt es hier in gemütlicher Atmosphäre leckerste Cocktails und sehr gutes Essen. Montags zwei Cocktails zum Preis von einem; mit mehreren Leuten sollte man dann aber einen Tisch reservieren. Bis 19:30 Uhr gibt's alle Cocktails für 3,70 Euro. </p>	./img/marker-gold.png	24,24	0,-24
51.716564 	 8.747714 	 Black & White 	 <span>Special:  Nicht identifizierbares Bier 0,3: 2,20 </span><p> Das Black & White ist das tiefste Loch in Paderborn. Um hineinzugelangen, muss man viele Stufen herabsteigen - sowohl real als auch metaphorisch. Trotzdem: Solti findet's toll. </p>	./img/marker-gold.png	24,24	0,-24
51.715596 	 8.746833 	 Kump 	 <span>Special:  Paderborner/Frankenheim Alt 0,3: 2,20 </span><p> Urbane Aussicht am Herzen des Paderborner Stadtverkehrs. Auch für Kaffeeklatsch geeignet. Grandiose Flammkuchenvariationen. </p>	./img/marker-gold.png	24,24	0,-24
51.717205 	 8.7437 	 St. George & Dragon 	 <span>Special:  Veltins 0,2: 1,20; Guinnes 0,3: 2,20 </span><p> Englischer Pub mit einer Hälfte Nichtraucherbereich. Familienkneipe mit gemütlichen Sofas, Dartscheibe und 3-lagigem Toilettenpapier. Designated Driver-System. Gutes Essen und richtig tolle Burger, Dienstags ist übrigens Burger Tag! </p>	./img/marker-gold.png	24,24	0,-24
51.718707 	 8.745932 	 Willie's Heartbreak Hotel 	 <span>Special:  Krombacher 0,2: 1,30 </span><p> Ein Paderborner Original: Das Publikum zwischen Studenten und Alt-68er, es läuft guter Jazz. </p>	./img/marker-gold.png	24,24	0,-24
51.719864 	 8.745525 	 Alles ist gut 	 <span>Special:  Bit/Warsteiner 0,3: 1,90 </span><p> Absoluter Geheimtipp: Verrauchte Studentenkneipe mit Billard (im Keller), Kicker und Zeitschriftenregal. Besonderheit ist, dass der nebenliegende China-Grill Mandarin bis 23:30 direkt an den Tisch liefert. Im Sommer wird der Hinterhof zu einem schnuckeligen Biergarten. Das "Alles ist gut" ist meist noch bis tief in die Nacht geöffnet und es gibt ständig neue Salzstangen. </p>	./img/marker-gold.png	24,24	0,-24
51.719093 	 8.749774 	 Paderschänke 	 <span>Special:  Brinkhoff's 0,25: 1,90 </span><p> Leckere Tapas, Biergarten mit malerischen Blick auf die Pader. Man sitzt quasi schon fast drin. </p>	./img/marker-gold.png	24,24	0,-24
51.717085 	 8.737521 	 Taubenschlag 	 <span>Special:  Alt/KöPi/Veltins/Duckstein 0,3: 2,00 </span><p> Hier treffen sich häufig Studies, die im Riemeke-Viertel wohnen. An der Decke klebt ein Flohmarkt. Nicht randalieren, Polizei wohnt nebenan. </p>	./img/marker-gold.png	24,24	0,-24
51.720501 	 8.749473 	 CordoBar 	 <span>Special:  Herforder 0,2: 1,50; Softdrinks 0,2: 1,40 </span><p> Gutbürgerliche spanische Atmosphäre mit kaufbarer Kunst an den Wänden und Softdartautomaten. Hier findet ihr immer einen Platz. Toilette mit Panoramaspiegel und holzvertäfelten Urinalen. </p>	./img/marker-gold.png	24,24	0,-24
51.720474 	 8.75149 	 Brauhaus 	 <span>Special:  Warsteiner 0,4: 2,90, Weizen: 3,40 </span><p> Wenn man sich im Sommer im Biergarten trifft, ist der vom Brauhaus gemeint. Man findet es leicht, wenn man nach einem großen beleuchteten Weihnachtsbaum Ausschau hält. </p>	./img/marker-gold.png	24,24	0,-24
51.711792 	 8.755717 	 Das 11. Gebot 	 <span>Special:  Krombacher/Veltins 0,25: 1,50 </span><p> 10 wechselnde Biersorten, allerdings auch Kölsch. </p>	./img/marker-gold.png	24,24	0,-24
51.714867 	 8.765266 	 Die Lötlampe 	 <span>Special:  Veltins 0,2: 1,20 </span><p> Eine bürgerlich gemütliche Kneipe mit Skatrunden und nostalgischen Fotos an der Wand. Gemischtes Publikum von Studies bis Kegelverein. Es gibt auch Kinderweizen (0,3). </p>	./img/marker-gold.png	24,24	0,-24
51.708683 	 8.780673 	 Zur Leuchte 	 <span>Special:   </span><p>  </p>	./img/marker-gold.png	24,24	0,-24
51.7182 	 8.750479 	 bambi 	 <span>Special:   </span><p> Do, Fr, Sa und vor Feiertagen: ab 18 Uhr </p>	./img/marker-gold.png	24,24	0,-24
51.705433 	 8.75849 	 El Mexicano 	 <span>Special:  2,20 </span><p> Leckerer Mexikaner, Hauptgericht für ca 10€. Hausgemachtes Chili con carne für 4,90. Bier 0,3l für 2,20; 0,5l für 3,40. </p>	./img/marker-gold.png	24,24	0,-24
